#score	name1	strand1	size1	zstart1	end1	name2	strand2	size2	zstart2	end2	identity	idPct	coverage	covPct
3274	U00096.2	+	4639675	2300079	2300113	NODE_18142_length_20_cov_2.000000	-	34	0	34	34/34	100.0%	34/34	100.0%
5512	U00096.2	+	4639675	2299941	2299999	NODE_18148_length_44_cov_2.022727	-	58	0	58	58/58	100.0%	58/58	100.0%
7039	U00096.2	+	4639675	2299659	2299737	NODE_18158_length_64_cov_1.000000	-	78	0	78	76/78	97.4%	78/78	100.0%
3756	U00096.2	+	4639675	2299634	2299673	NODE_18159_length_25_cov_2.000000	-	39	0	39	39/39	100.0%	39/39	100.0%
3965	U00096.2	+	4639675	2299518	2299559	NODE_18169_length_27_cov_2.000000	-	41	0	41	41/41	100.0%	41/41	100.0%
3856	U00096.2	+	4639675	2299470	2299510	NODE_18171_length_26_cov_2.000000	-	40	0	40	40/40	100.0%	40/40	100.0%
5102	U00096.2	+	4639675	2299226	2299279	NODE_18184_length_39_cov_2.000000	-	53	0	53	53/53	100.0%	53/53	100.0%
4520	U00096.2	+	4639675	2299122	2299169	NODE_18186_length_33_cov_2.030303	-	47	0	47	47/47	100.0%	47/47	100.0%
8406	U00096.2	+	4639675	2298767	2298861	NODE_18204_length_79_cov_2.025316	-	93	0	93	92/93	98.9%	93/93	100.0%
3956	U00096.2	+	4639675	2298613	2298654	NODE_18211_length_27_cov_1.000000	-	41	0	41	41/41	100.0%	41/41	100.0%
4547	U00096.2	+	4639675	2298579	2298626	NODE_18213_length_33_cov_1.000000	-	47	0	47	47/47	100.0%	47/47	100.0%
4265	U00096.2	+	4639675	2298521	2298565	NODE_18219_length_30_cov_2.100000	-	44	0	44	44/44	100.0%	44/44	100.0%
3974	U00096.2	+	4639675	2298407	2298448	NODE_18230_length_27_cov_1.000000	-	41	0	41	41/41	100.0%	41/41	100.0%
3574	U00096.2	+	4639675	2298379	2298416	NODE_18232_length_23_cov_1.000000	-	37	0	37	37/37	100.0%	37/37	100.0%
18300	U00096.2	+	4639675	4630814	4631074	NODE_18239_length_260_cov_1.000000	+	274	0	274	248/258	96.1%	274/274	100.0%
4750	U00096.2	+	4639675	4631065	4631125	NODE_18241_length_56_cov_1.000000	+	70	4	70	60/60	100.0%	66/70	94.3%
5253	U00096.2	+	4639675	4631160	4631238	NODE_18247_length_66_cov_1.000000	+	80	0	80	75/76	98.7%	80/80	100.0%
6060	U00096.2	+	4639675	4631441	4631523	NODE_18256_length_70_cov_1.000000	+	84	0	84	79/81	97.5%	84/84	100.0%
3374	U00096.2	+	4639675	4631647	4631682	NODE_18258_length_21_cov_1.000000	+	35	0	35	35/35	100.0%	35/35	100.0%
5784	U00096.2	+	4639675	4632128	4632188	NODE_18281_length_46_cov_3.000000	+	60	0	60	60/60	100.0%	60/60	100.0%
3738	U00096.2	+	4639675	4632452	4632491	NODE_18296_length_25_cov_4.120000	+	39	0	39	39/39	100.0%	39/39	100.0%
3074	U00096.2	+	4639675	4632555	4632587	NODE_18304_length_18_cov_4.000000	+	32	0	32	32/32	100.0%	32/32	100.0%
3413	U00096.2	+	4639675	4633232	4633270	NODE_18339_length_24_cov_4.916667	+	38	0	38	37/38	97.4%	38/38	100.0%
10767	U00096.2	+	4639675	1170456	1170670	NODE_19439_length_213_cov_1.000000	-	227	1	227	182/211	86.3%	226/227	99.6%
6160	U00096.2	+	4639675	1170371	1170464	NODE_19441_length_93_cov_1.000000	-	107	0	103	87/91	95.6%	103/107	96.3%
11229	U00096.2	+	4639675	1170197	1170384	NODE_19443_length_180_cov_1.000000	-	194	0	194	163/186	87.6%	194/194	100.0%
23879	U00096.2	+	4639675	1169670	1169989	NODE_19450_length_321_cov_1.000000	-	335	0	335	314/316	99.4%	335/335	100.0%
29021	U00096.2	+	4639675	1169299	1169683	NODE_19452_length_370_cov_1.000000	-	384	0	384	368/376	97.9%	384/384	100.0%
14535	U00096.2	+	4639675	1169112	1169310	NODE_19453_length_188_cov_1.000000	-	202	0	202	186/196	94.9%	202/202	100.0%
15649	U00096.2	+	4639675	1168916	1169124	NODE_19455_length_200_cov_1.000000	-	214	0	214	196/203	96.6%	214/214	100.0%
9210	U00096.2	+	4639675	1168737	1168869	NODE_19459_length_119_cov_1.000000	-	133	0	133	124/129	96.1%	133/133	100.0%
28575	U00096.2	+	4639675	1168324	1168743	NODE_19461_length_432_cov_1.000000	-	446	0	440	389/417	93.3%	440/446	98.7%
16997	U00096.2	+	4639675	1168080	1168333	NODE_19463_length_250_cov_1.000000	-	264	0	261	239/249	96.0%	261/264	98.9%
13925	U00096.2	+	4639675	1167907	1168093	NODE_19464_length_165_cov_1.000000	-	179	0	179	175/177	98.9%	179/179	100.0%
3619	U00096.2	+	4639675	65403	65464	NODE_19858_length_45_cov_1.000000	+	59	0	59	51/59	86.4%	59/59	100.0%
6030	U00096.2	+	4639675	1058998	1059061	NODE_20865_length_49_cov_2.020408	+	63	0	63	63/63	100.0%	63/63	100.0%
5564	U00096.2	+	4639675	1059208	1059279	NODE_20877_length_58_cov_2.017241	+	72	0	72	67/71	94.4%	72/72	100.0%
3774	U00096.2	+	4639675	1059518	1059557	NODE_20891_length_25_cov_2.040000	+	39	0	39	39/39	100.0%	39/39	100.0%
4129	U00096.2	+	4639675	1059566	1059609	NODE_20895_length_29_cov_2.000000	+	43	0	43	43/43	100.0%	43/43	100.0%
3774	U00096.2	+	4639675	1059712	1059751	NODE_20899_length_25_cov_2.000000	+	39	0	39	39/39	100.0%	39/39	100.0%
4121	U00096.2	+	4639675	1059751	1059802	NODE_20901_length_34_cov_1.000000	+	48	0	48	48/48	100.0%	48/48	100.0%
5648	U00096.2	+	4639675	1059994	1060053	NODE_20911_length_45_cov_2.066667	+	59	0	59	59/59	100.0%	59/59	100.0%
4671	U00096.2	+	4639675	1060039	1060089	NODE_20912_length_36_cov_1.000000	+	50	0	50	49/50	98.0%	50/50	100.0%
3156	U00096.2	+	4639675	1060075	1060108	NODE_20913_length_19_cov_2.052632	+	33	0	33	33/33	100.0%	33/33	100.0%
5181	U00096.2	+	4639675	610522	610600	NODE_22497_length_68_cov_1.000000	-	82	0	82	70/78	89.7%	82/82	100.0%
3547	U00096.2	+	4639675	14270	14330	NODE_22983_length_47_cov_1.000000	+	61	0	60	47/60	78.3%	60/61	98.4%
3802	U00096.2	+	4639675	106959	106999	NODE_24407_length_26_cov_2.000000	+	40	0	40	40/40	100.0%	40/40	100.0%
3329	U00096.2	+	4639675	2506912	2506947	NODE_24989_length_21_cov_4.000000	-	35	0	35	35/35	100.0%	35/35	100.0%
3174	U00096.2	+	4639675	2506766	2506799	NODE_24999_length_19_cov_3.000000	-	33	0	33	33/33	100.0%	33/33	100.0%
3902	U00096.2	+	4639675	2505638	2505679	NODE_25049_length_27_cov_2.037037	-	41	0	41	41/41	100.0%	41/41	100.0%
3338	U00096.2	+	4639675	2505370	2505405	NODE_25059_length_21_cov_2.000000	-	35	0	35	35/35	100.0%	35/35	100.0%
3338	U00096.2	+	4639675	4520956	4520991	NODE_26020_length_21_cov_8.095238	+	35	0	35	35/35	100.0%	35/35	100.0%
3492	U00096.2	+	4639675	4522340	4522376	NODE_26136_length_22_cov_7.000000	+	36	0	36	36/36	100.0%	36/36	100.0%
3355	U00096.2	+	4639675	93447	93500	NODE_27169_length_39_cov_1.000000	-	53	0	53	43/53	81.1%	53/53	100.0%
3898	U00096.2	+	4639675	4637806	4637856	NODE_28295_length_34_cov_1.000000	-	48	0	48	46/48	95.8%	48/48	100.0%
5556	U00096.2	+	4639675	1056762	1056847	NODE_28720_length_79_cov_1.000000	+	93	0	93	74/85	87.1%	93/93	100.0%
4412	U00096.2	+	4639675	1058961	1059012	NODE_28795_length_40_cov_1.000000	+	54	0	54	51/51	100.0%	54/54	100.0%
3829	U00096.2	+	4639675	1059118	1059158	NODE_28797_length_26_cov_1.000000	+	40	0	40	40/40	100.0%	40/40	100.0%
5699	U00096.2	+	4639675	1060094	1060169	NODE_28826_length_62_cov_1.000000	+	76	0	76	71/74	95.9%	76/76	100.0%
9845	U00096.2	+	4639675	1060307	1060440	NODE_28832_length_119_cov_1.000000	+	133	0	133	122/132	92.4%	133/133	100.0%
30919	U00096.2	+	4639675	1060427	1060856	NODE_28833_length_431_cov_1.000000	+	445	0	445	403/427	94.4%	445/445	100.0%
9706	U00096.2	+	4639675	1060878	1061022	NODE_28836_length_128_cov_1.000000	+	142	0	142	130/137	94.9%	142/142	100.0%
23055	U00096.2	+	4639675	1061185	1061504	NODE_28846_length_307_cov_1.000000	+	321	0	321	299/310	96.5%	321/321	100.0%
6758	U00096.2	+	4639675	1061684	1061766	NODE_28850_length_68_cov_1.000000	+	82	0	82	80/81	98.8%	82/82	100.0%
3407	U00096.2	+	4639675	550645	550729	NODE_28850_length_68_cov_1.000000	-	82	2	82	63/79	79.7%	80/82	97.6%
7207	U00096.2	+	4639675	1061780	1061875	NODE_28852_length_89_cov_1.000000	+	103	1	103	92/95	96.8%	102/103	99.0%
15010	U00096.2	+	4639675	1061901	1062120	NODE_28855_length_217_cov_1.000000	+	231	0	219	204/212	96.2%	219/231	94.8%
4150	U00096.2	+	4639675	50870	50933	NODE_29197_length_52_cov_1.000000	+	66	0	66	57/63	90.5%	66/66	100.0%
3303	U00096.2	+	4639675	4522671	4522713	NODE_29449_length_28_cov_1.000000	+	42	0	42	38/42	90.5%	42/42	100.0%
3677	U00096.2	+	4639675	259838	259885	NODE_29735_length_33_cov_1.000000	+	47	0	47	42/47	89.4%	47/47	100.0%
3695	U00096.2	+	4639675	39600	39648	NODE_30071_length_34_cov_1.000000	-	48	0	48	42/48	87.5%	48/48	100.0%
3283	U00096.2	+	4639675	1043715	1043749	NODE_30530_length_20_cov_3.200000	-	34	0	34	34/34	100.0%	34/34	100.0%
5766	U00096.2	+	4639675	271393	271453	NODE_30554_length_46_cov_4.108696	+	60	0	60	60/60	100.0%	60/60	100.0%
3656	U00096.2	+	4639675	271580	271618	NODE_30561_length_24_cov_2.041667	+	38	0	38	38/38	100.0%	38/38	100.0%
3838	U00096.2	+	4639675	272605	272645	NODE_30612_length_26_cov_4.038462	+	40	0	40	40/40	100.0%	40/40	100.0%
3356	U00096.2	+	4639675	273339	273374	NODE_30655_length_21_cov_2.095238	+	35	0	35	35/35	100.0%	35/35	100.0%
3356	U00096.2	+	4639675	1395066	1395101	NODE_30655_length_21_cov_2.095238	-	35	0	35	35/35	100.0%	35/35	100.0%
6030	U00096.2	+	4639675	273641	273704	NODE_30672_length_49_cov_6.979592	+	63	0	63	63/63	100.0%	63/63	100.0%
6030	U00096.2	+	4639675	1394736	1394799	NODE_30672_length_49_cov_6.979592	-	63	0	63	63/63	100.0%	63/63	100.0%
3665	U00096.2	+	4639675	274135	274173	NODE_30704_length_24_cov_5.000000	+	38	0	38	38/38	100.0%	38/38	100.0%
3665	U00096.2	+	4639675	1394267	1394305	NODE_30704_length_24_cov_5.000000	-	38	0	38	38/38	100.0%	38/38	100.0%
21100	U00096.2	+	4639675	268673	268909	NODE_30996_length_227_cov_1.000000	-	241	3	241	235/235	100.0%	238/241	98.8%
9161	U00096.2	+	4639675	268549	268676	NODE_31000_length_131_cov_1.000000	-	145	0	140	119/125	95.2%	140/145	96.6%
9899	U00096.2	+	4639675	268409	268558	NODE_31001_length_153_cov_1.000000	-	167	0	164	146/149	98.0%	164/167	98.2%
11580	U00096.2	+	4639675	268248	268422	NODE_31002_length_149_cov_1.000000	-	163	0	163	158/159	99.4%	163/163	100.0%
6926	U00096.2	+	4639675	268143	268261	NODE_31003_length_102_cov_1.000000	-	116	4	116	102/109	93.6%	112/116	96.6%
5417	U00096.2	+	4639675	2765787	2765868	NODE_31007_length_81_cov_1.000000	+	95	14	95	67/81	82.7%	81/95	85.3%
7734	U00096.2	+	4639675	268047	268141	NODE_31007_length_81_cov_1.000000	-	95	0	95	91/93	97.8%	95/95	100.0%
17145	U00096.2	+	4639675	2765856	2766175	NODE_31008_length_312_cov_1.000000	+	326	0	326	257/316	81.3%	326/326	100.0%
24072	U00096.2	+	4639675	267740	268059	NODE_31008_length_312_cov_1.000000	-	326	0	326	305/315	96.8%	326/326	100.0%
7441	U00096.2	+	4639675	2766163	2766307	NODE_31009_length_134_cov_1.000000	+	148	1	146	115/142	81.0%	145/148	98.0%
10115	U00096.2	+	4639675	267608	267752	NODE_31009_length_134_cov_1.000000	-	148	2	147	133/142	93.7%	145/148	98.0%
17364	U00096.2	+	4639675	2766308	2766712	NODE_31011_length_411_cov_1.000000	+	425	8	425	313/391	80.1%	417/425	98.1%
27146	U00096.2	+	4639675	267203	267607	NODE_31011_length_411_cov_1.000000	-	425	0	417	379/399	95.0%	417/425	98.1%
12676	U00096.2	+	4639675	2766701	2766935	NODE_31013_length_223_cov_1.000000	+	237	0	230	185/225	82.2%	230/237	97.0%
16631	U00096.2	+	4639675	266980	267214	NODE_31013_length_223_cov_1.000000	-	237	7	237	212/223	95.1%	230/237	97.0%
3502	U00096.2	+	4639675	266890	266927	NODE_31015_length_23_cov_2.043478	-	37	0	37	37/37	100.0%	37/37	100.0%
4255	U00096.2	+	4639675	2767226	2767295	NODE_31025_length_55_cov_1.000000	+	69	0	69	56/69	81.2%	69/69	100.0%
5414	U00096.2	+	4639675	266620	266689	NODE_31025_length_55_cov_1.000000	-	69	0	69	63/69	91.3%	69/69	100.0%
4447	U00096.2	+	4639675	2767308	2767365	NODE_31029_length_43_cov_2.000000	+	57	0	57	51/57	89.5%	57/57	100.0%
5484	U00096.2	+	4639675	266550	266607	NODE_31029_length_43_cov_2.000000	-	57	0	57	57/57	100.0%	57/57	100.0%
3753	U00096.2	+	4639675	2767355	2767402	NODE_31031_length_34_cov_2.000000	+	48	1	48	42/47	89.4%	47/48	97.9%
4593	U00096.2	+	4639675	266513	266561	NODE_31031_length_34_cov_2.000000	-	48	0	48	48/48	100.0%	48/48	100.0%
4185	U00096.2	+	4639675	2767515	2767608	NODE_31036_length_78_cov_2.038461	+	92	1	92	70/91	76.9%	91/92	98.9%
7980	U00096.2	+	4639675	266307	266401	NODE_31036_length_78_cov_2.038461	-	92	0	92	92/92	100.0%	92/92	100.0%
4717	U00096.2	+	4639675	2767597	2767680	NODE_31037_length_75_cov_1.000000	+	89	3	89	71/82	86.6%	86/89	96.6%
5737	U00096.2	+	4639675	266235	266321	NODE_31037_length_75_cov_1.000000	-	89	0	89	79/85	92.9%	89/89	100.0%
3311	U00096.2	+	4639675	266189	266224	NODE_31040_length_21_cov_2.000000	-	35	0	35	35/35	100.0%	35/35	100.0%
7714	U00096.2	+	4639675	2768474	2768568	NODE_31045_length_80_cov_2.000000	+	94	0	94	86/94	91.5%	94/94	100.0%
8779	U00096.2	+	4639675	265911	266005	NODE_31045_length_80_cov_2.000000	-	94	0	94	93/94	98.9%	94/94	100.0%
4055	U00096.2	+	4639675	2768602	2768658	NODE_31049_length_42_cov_1.000000	+	56	0	56	49/56	87.5%	56/56	100.0%
4522	U00096.2	+	4639675	265821	265877	NODE_31049_length_42_cov_1.000000	-	56	0	56	52/56	92.9%	56/56	100.0%
4103	U00096.2	+	4639675	2768644	2768691	NODE_31050_length_33_cov_2.090909	+	47	0	47	45/47	95.7%	47/47	100.0%
4448	U00096.2	+	4639675	265788	265835	NODE_31050_length_33_cov_2.090909	-	47	0	47	47/47	100.0%	47/47	100.0%
6207	U00096.2	+	4639675	265627	265703	NODE_31053_length_60_cov_2.033333	-	74	0	74	74/74	100.0%	74/74	100.0%
5241	U00096.2	+	4639675	2768863	2768930	NODE_31055_length_53_cov_2.000000	+	67	0	67	59/67	88.1%	67/67	100.0%
6430	U00096.2	+	4639675	265549	265616	NODE_31055_length_53_cov_2.000000	-	67	0	67	67/67	100.0%	67/67	100.0%
4888	U00096.2	+	4639675	2768917	2768987	NODE_31057_length_55_cov_2.000000	+	69	0	69	61/69	88.4%	69/69	100.0%
6209	U00096.2	+	4639675	265492	265562	NODE_31057_length_55_cov_2.000000	-	69	0	69	69/69	100.0%	69/69	100.0%
3924	U00096.2	+	4639675	2768975	2769025	NODE_31058_length_37_cov_2.000000	+	51	1	51	44/50	88.0%	50/51	98.0%
4635	U00096.2	+	4639675	265454	265504	NODE_31058_length_37_cov_2.000000	-	51	0	50	49/50	98.0%	50/51	98.0%
3838	U00096.2	+	4639675	264773	264813	NODE_31084_length_26_cov_2.076923	-	40	0	40	40/40	100.0%	40/40	100.0%
3656	U00096.2	+	4639675	264202	264240	NODE_31133_length_24_cov_2.000000	-	38	0	38	38/38	100.0%	38/38	100.0%
3356	U00096.2	+	4639675	264110	264145	NODE_31137_length_21_cov_2.000000	-	35	0	35	35/35	100.0%	35/35	100.0%
4001	U00096.2	+	4639675	264026	264072	NODE_31144_length_32_cov_4.250000	-	46	0	46	44/46	95.7%	46/46	100.0%
3850	U00096.2	+	4639675	2774331	2774399	NODE_31146_length_54_cov_4.037037	+	68	0	68	51/68	75.0%	68/68	100.0%
6512	U00096.2	+	4639675	263971	264039	NODE_31146_length_54_cov_4.037037	-	68	0	68	68/68	100.0%	68/68	100.0%
4819	U00096.2	+	4639675	263902	263962	NODE_31150_length_48_cov_1.000000	-	62	0	62	57/60	95.0%	62/62	100.0%
4038	U00096.2	+	4639675	263697	263739	NODE_31166_length_28_cov_2.035714	-	42	0	42	42/42	100.0%	42/42	100.0%
3301	U00096.2	+	4639675	263295	263329	NODE_31198_length_21_cov_4.047619	-	35	0	34	34/34	100.0%	34/35	97.1%
6989	U00096.2	+	4639675	598213	598311	NODE_32527_length_89_cov_1.000000	+	103	0	103	93/98	94.9%	103/103	100.0%
3369	U00096.2	+	4639675	598313	598369	NODE_32532_length_39_cov_1.000000	+	53	1	53	46/52	88.5%	52/53	98.1%
3165	U00096.2	+	4639675	598356	598389	NODE_32534_length_19_cov_3.052632	+	33	0	33	33/33	100.0%	33/33	100.0%
3338	U00096.2	+	4639675	599161	599196	NODE_32588_length_21_cov_2.952381	+	35	0	35	35/35	100.0%	35/35	100.0%
4567	U00096.2	+	4639675	599397	599465	NODE_32611_length_54_cov_1.000000	+	68	0	68	61/67	91.0%	68/68	100.0%
3274	U00096.2	+	4639675	600288	600322	NODE_32720_length_20_cov_4.200000	+	34	0	34	34/34	100.0%	34/34	100.0%
3184	U00096.2	+	4639675	99537	99582	NODE_33384_length_31_cov_1.000000	+	45	0	45	39/45	86.7%	45/45	100.0%
4789	U00096.2	+	4639675	2519120	2519188	NODE_33748_length_51_cov_1.000000	+	65	0	65	61/65	93.8%	65/65	100.0%
4669	U00096.2	+	4639675	2520379	2520437	NODE_33821_length_46_cov_1.000000	+	60	0	60	56/58	96.6%	60/60	100.0%
4375	U00096.2	+	4639675	2521137	2521183	NODE_33850_length_32_cov_1.968750	+	46	0	46	46/46	100.0%	46/46	100.0%
4175	U00096.2	+	4639675	2521647	2521691	NODE_33874_length_30_cov_2.033333	+	44	0	44	44/44	100.0%	44/44	100.0%
6061	U00096.2	+	4639675	2521756	2521826	NODE_33878_length_58_cov_2.017241	+	72	4	72	68/68	100.0%	68/72	94.4%
5616	U00096.2	+	4639675	2521971	2522040	NODE_33889_length_55_cov_2.036364	+	69	0	69	68/68	100.0%	69/69	100.0%
5118	U00096.2	+	4639675	2522078	2522137	NODE_33891_length_44_cov_2.022727	+	58	0	58	58/58	100.0%	58/58	100.0%
3520	U00096.2	+	4639675	250366	250403	NODE_35151_length_23_cov_3.000000	+	37	0	37	37/37	100.0%	37/37	100.0%
3229	U00096.2	+	4639675	252198	252232	NODE_35228_length_20_cov_7.750000	+	34	0	34	34/34	100.0%	34/34	100.0%
3753	U00096.2	+	4639675	1047770	1047817	NODE_35641_length_33_cov_1.000000	-	47	0	47	42/47	89.4%	47/47	100.0%
3074	U00096.2	+	4639675	1042959	1042991	NODE_35801_length_18_cov_5.000000	-	32	0	32	32/32	100.0%	32/32	100.0%
4238	U00096.2	+	4639675	97648	97705	NODE_37083_length_43_cov_1.000000	+	57	0	57	51/57	89.5%	57/57	100.0%
5244	U00096.2	+	4639675	1041553	1041609	NODE_37643_length_42_cov_1.000000	+	56	0	56	55/56	98.2%	56/56	100.0%
3578	U00096.2	+	4639675	2516787	2516849	NODE_37989_length_48_cov_1.000000	+	62	0	62	48/62	77.4%	62/62	100.0%
3471	U00096.2	+	4639675	281716	281756	NODE_39205_length_26_cov_1.000000	+	40	0	40	38/40	95.0%	40/40	100.0%
3825	U00096.2	+	4639675	95499	95550	NODE_39338_length_37_cov_1.000000	+	51	0	51	45/51	88.2%	51/51	100.0%
3172	U00096.2	+	4639675	1971465	1971502	NODE_39757_length_23_cov_1.000000	-	37	0	37	34/37	91.9%	37/37	100.0%
4729	U00096.2	+	4639675	1966060	1966109	NODE_39957_length_35_cov_3.057143	-	49	0	49	49/49	100.0%	49/49	100.0%
3673	U00096.2	+	4639675	30710	30755	NODE_42191_length_31_cov_1.000000	-	45	0	45	41/45	91.1%	45/45	100.0%
3440	U00096.2	+	4639675	11184	11234	NODE_43627_length_36_cov_1.000000	-	50	0	50	42/50	84.0%	50/50	100.0%
10603	U00096.2	+	4639675	414567	414694	NODE_43673_length_129_cov_1.000000	-	143	0	124	122/124	98.4%	124/143	86.7%
5494	U00096.2	+	4639675	414498	414580	NODE_43675_length_72_cov_1.000000	-	86	0	86	75/78	96.2%	86/86	100.0%
